date,lobith
1/1/2006,1272
2/1/2006,1261
3/1/2006,1320
4/1/2006,1581
5/1/2006,1906
6/1/2006,1885
7/1/2006,1733
8/1/2006,1581
9/1/2006,1482
10/1/2006,1400
11/1/2006,1328
12/1/2006,1277
13/01/2006,1229
14/01/2006,1186
15/01/2006,1158
16/01/2006,1124
17/01/2006,1092
18/01/2006,1085
19/01/2006,1097
20/01/2006,1141
21/01/2006,1275
22/01/2006,1450
23/01/2006,1591
24/01/2006,1645
25/01/2006,1610
26/01/2006,1550
27/01/2006,1449
28/01/2006,1362
29/01/2006,1287
30/01/2006,1231
31/01/2006,1195
1/2/2006,1163
2/2/2006,1130
3/2/2006,1085
4/2/2006,1059
5/2/2006,1047
6/2/2006,1036
7/2/2006,1050
8/2/2006,1065
9/2/2006,1130
10/2/2006,1208
11/2/2006,1274
12/2/2006,1308
13/02/2006,1299
14/02/2006,1240
15/02/2006,1168
16/02/2006,1173
17/02/2006,1282
18/02/2006,1728
19/02/2006,2599
20/02/2006,3549
21/02/2006,3969
22/02/2006,3866
23/02/2006,3415
24/02/2006,2986
25/02/2006,2618
26/02/2006,2323
27/02/2006,2099
28/02/2006,1945
1/3/2006,1819
2/3/2006,1728
3/3/2006,1621
4/3/2006,1547
5/3/2006,1491
6/3/2006,1481
7/3/2006,1659
8/3/2006,1879
9/3/2006,1971
10/3/2006,2143
11/3/2006,2806
12/3/2006,4197
13/03/2006,5267
14/03/2006,5668
15/03/2006,5402
16/03/2006,4725
17/03/2006,3935
18/03/2006,3264
19/03/2006,2830
20/03/2006,2563
21/03/2006,2361
22/03/2006,2184
23/03/2006,2077
24/03/2006,2023
25/03/2006,2064
26/03/2006,2221
27/03/2006,2461
28/03/2006,2835
29/03/2006,3377
30/03/2006,3880
31/03/2006,4198
1/4/2006,4630
2/4/2006,5264
3/4/2006,5625
4/4/2006,5675
5/4/2006,5504
6/4/2006,5232
7/4/2006,4877
8/4/2006,4485
9/4/2006,4147
10/4/2006,3899
11/4/2006,3674
12/4/2006,3480
13/04/2006,3515
14/04/2006,3881
15/04/2006,4144
16/04/2006,4140
17/04/2006,4025
18/04/2006,3952
19/04/2006,3943
20/04/2006,3898
21/04/2006,3808
22/04/2006,3645
23/04/2006,3448
24/04/2006,3258
25/04/2006,3092
26/04/2006,2967
27/04/2006,2855
28/04/2006,2759
29/04/2006,2717
30/04/2006,2733
1/5/2006,2812
2/5/2006,2842
3/5/2006,2882
4/5/2006,2812
5/5/2006,2664
6/5/2006,2469
7/5/2006,2290
8/5/2006,2177
9/5/2006,2105
10/5/2006,2077
11/5/2006,2065
12/5/2006,2100
13/05/2006,2241
14/05/2006,2309
15/05/2006,2334
16/05/2006,2312
17/05/2006,2252
18/05/2006,2297
19/05/2006,2457
20/05/2006,2504
21/05/2006,2521
22/05/2006,2579
23/05/2006,2738
24/05/2006,2759
25/05/2006,2730
26/05/2006,2707
27/05/2006,2749
28/05/2006,3018
29/05/2006,3426
30/05/2006,3691
31/05/2006,3670
1/6/2006,3588
2/6/2006,3711
3/6/2006,3913
4/6/2006,3993
5/6/2006,3930
6/6/2006,3759
7/6/2006,3498
8/6/2006,3248
9/6/2006,3040
10/6/2006,2822
11/6/2006,2638
12/6/2006,2479
13/06/2006,2316
14/06/2006,2177
15/06/2006,2082
16/06/2006,2000
17/06/2006,1935
18/06/2006,1894
19/06/2006,1872
20/06/2006,1895
21/06/2006,1902
22/06/2006,1887
23/06/2006,1858
24/06/2006,1847
25/06/2006,1805
26/06/2006,1813
27/06/2006,1811
28/06/2006,1820
29/06/2006,1844
30/06/2006,1783
1/7/2006,1766
2/7/2006,1815
3/7/2006,1807
4/7/2006,1746
5/7/2006,1672
6/7/2006,1624
7/7/2006,1582
8/7/2006,1543
9/7/2006,1607
10/7/2006,1672
11/7/2006,1692
12/7/2006,1651
13/07/2006,1562
14/07/2006,1489
15/07/2006,1441
16/07/2006,1415
17/07/2006,1380
18/07/2006,1355
19/07/2006,1317
20/07/2006,1270
21/07/2006,1240
22/07/2006,1211
23/07/2006,1188
24/07/2006,1184
25/07/2006,1173
26/07/2006,1179
27/07/2006,1184
28/07/2006,1170
29/07/2006,1152
30/07/2006,1162
31/07/2006,1180
1/8/2006,1196
2/8/2006,1183
3/8/2006,1200
4/8/2006,1205
5/8/2006,1239
6/8/2006,1232
7/8/2006,1232
8/8/2006,1300
9/8/2006,1371
10/8/2006,1453
11/8/2006,1510
12/8/2006,1517
13/08/2006,1505
14/08/2006,1515
15/08/2006,1532
16/08/2006,1593
17/08/2006,1757
18/08/2006,1880
19/08/2006,1892
20/08/2006,1926
21/08/2006,1890
22/08/2006,1830
23/08/2006,1768
24/08/2006,1667
25/08/2006,1630
26/08/2006,1632
27/08/2006,1638
28/08/2006,1695
29/08/2006,1782
30/08/2006,1785
31/08/2006,1976
1/9/2006,2223
2/9/2006,2365
3/9/2006,2375
4/9/2006,2336
5/9/2006,2212
6/9/2006,2052
7/9/2006,1890
8/9/2006,1765
9/9/2006,1658
10/9/2006,1561
11/9/2006,1519
12/9/2006,1493
13/09/2006,1468
14/09/2006,1428
15/09/2006,1380
16/09/2006,1346
17/09/2006,1311
18/09/2006,1294
19/09/2006,1372
20/09/2006,1451
21/09/2006,1753
22/09/2006,2196
23/09/2006,2379
24/09/2006,2276
25/09/2006,2086
26/09/2006,1925
27/09/2006,1780
28/09/2006,1703
29/09/2006,1817
30/09/2006,1959
1/10/2006,1989
2/10/2006,1913
3/10/2006,1819
4/10/2006,1781
5/10/2006,2090
6/10/2006,2847
7/10/2006,3534
8/10/2006,3807
9/10/2006,3566
10/10/2006,3081
11/10/2006,2755
12/10/2006,2467
13/10/2006,2222
14/10/2006,2041
15/10/2006,1900
16/10/2006,1798
17/10/2006,1702
18/10/2006,1618
19/10/2006,1533
20/10/2006,1475
21/10/2006,1442
22/10/2006,1418
23/10/2006,1401
24/10/2006,1432
25/10/2006,1454
26/10/2006,1459
27/10/2006,1773
28/10/2006,1976
29/10/2006,1798
30/10/2006,1599
31/10/2006,1496
1/11/2006,1452
2/11/2006,1383
3/11/2006,1333
4/11/2006,1309
5/11/2006,1286
6/11/2006,1247
7/11/2006,1220
8/11/2006,1203
9/11/2006,1191
10/11/2006,1180
11/11/2006,1169
12/11/2006,1191
13/11/2006,1212
14/11/2006,1214
15/11/2006,1252
16/11/2006,1320
17/11/2006,1376
18/11/2006,1404
19/11/2006,1410
20/11/2006,1429
21/11/2006,1445
22/11/2006,1486
23/11/2006,1530
24/11/2006,1648
25/11/2006,1860
26/11/2006,2128
27/11/2006,2207
28/11/2006,2118
29/11/2006,1984
30/11/2006,1817
1/12/2006,1653
2/12/2006,1539
3/12/2006,1467
4/12/2006,1437
5/12/2006,1423
6/12/2006,1439
7/12/2006,1576
8/12/2006,1803
9/12/2006,1948
10/12/2006,2059
11/12/2006,2227
12/12/2006,2276
13/12/2006,2379
14/12/2006,2437
15/12/2006,2365
16/12/2006,2234
17/12/2006,2092
18/12/2006,1956
19/12/2006,1834
20/12/2006,1740
21/12/2006,1650
22/12/2006,1588
23/12/2006,1530
24/12/2006,1466
25/12/2006,1424
26/12/2006,1387
27/12/2006,1355
28/12/2006,1327
29/12/2006,1299
30/12/2006,1262
31/12/2006,1262
1/1/2007,1263
2/1/2007,1288
3/1/2007,1432
4/1/2007,1768
5/1/2007,2073
6/1/2007,2338
7/1/2007,2447
8/1/2007,2525
9/1/2007,2720
10/1/2007,2816
11/1/2007,2884
12/1/2007,2995
13/01/2007,3094
14/01/2007,3116
15/01/2007,3059
16/01/2007,2906
17/01/2007,2693
18/01/2007,2551
19/01/2007,2680
20/01/2007,3281
21/01/2007,4084
22/01/2007,4401
23/01/2007,4473
24/01/2007,4241
25/01/2007,3827
26/01/2007,3365
27/01/2007,2975
28/01/2007,2673
29/01/2007,2444
30/01/2007,2313
31/01/2007,2240
1/2/2007,2208
2/2/2007,2222
3/2/2007,2200
4/2/2007,2107
5/2/2007,2019
6/2/2007,1934
7/2/2007,1858
8/2/2007,1802
9/2/2007,1790
10/2/2007,1855
11/2/2007,2055
12/2/2007,2273
13/02/2007,2535
14/02/2007,3187
15/02/2007,4013
16/02/2007,4449
17/02/2007,4591
18/02/2007,4528
19/02/2007,4297
20/02/2007,3898
21/02/2007,3436
22/02/2007,3054
23/02/2007,2764
24/02/2007,2531
25/02/2007,2382
26/02/2007,2338
27/02/2007,2472
28/02/2007,2699
1/3/2007,2991
2/3/2007,3486
3/3/2007,4268
4/3/2007,5114
5/3/2007,5699
6/3/2007,6028
7/3/2007,5861
8/3/2007,5424
9/3/2007,4967
10/3/2007,4543
11/3/2007,4124
12/3/2007,3708
13/03/2007,3384
14/03/2007,3109
15/03/2007,2877
16/03/2007,2682
17/03/2007,2543
18/03/2007,2428
19/03/2007,2340
20/03/2007,2261
21/03/2007,2246
22/03/2007,2250
23/03/2007,2329
24/03/2007,2437
25/03/2007,2652
26/03/2007,2999
27/03/2007,3312
28/03/2007,3391
29/03/2007,3253
30/03/2007,3031
31/03/2007,2860
1/4/2007,2718
2/4/2007,2689
3/4/2007,2729
4/4/2007,2635
5/4/2007,2460
6/4/2007,2296
7/4/2007,2185
8/4/2007,2102
9/4/2007,2040
10/4/2007,1967
11/4/2007,1909
12/4/2007,1835
13/04/2007,1772
14/04/2007,1707
15/04/2007,1653
16/04/2007,1605
17/04/2007,1577
18/04/2007,1535
19/04/2007,1507
20/04/2007,1485
21/04/2007,1464
22/04/2007,1451
23/04/2007,1443
24/04/2007,1429
25/04/2007,1415
26/04/2007,1387
27/04/2007,1374
28/04/2007,1353
29/04/2007,1325
30/04/2007,1297
1/5/2007,1282
2/5/2007,1295
3/5/2007,1282
4/5/2007,1273
5/5/2007,1262
6/5/2007,1234
7/5/2007,1237
8/5/2007,1305
9/5/2007,1394
10/5/2007,1499
11/5/2007,1574
12/5/2007,1695
13/05/2007,1824
14/05/2007,1779
15/05/2007,1659
16/05/2007,1603
17/05/2007,1598
18/05/2007,1649
19/05/2007,1755
20/05/2007,1814
21/05/2007,1915
22/05/2007,2028
23/05/2007,2019
24/05/2007,1950
25/05/2007,1862
26/05/2007,1801
27/05/2007,1782
28/05/2007,1780
29/05/2007,1775
30/05/2007,1774
31/05/2007,1837
1/6/2007,2186
2/6/2007,2560
3/6/2007,2535
4/6/2007,2415
5/6/2007,2348
6/6/2007,2316
7/6/2007,2252
8/6/2007,2147
9/6/2007,2062
10/6/2007,1977
11/6/2007,1944
12/6/2007,2010
13/06/2007,2058
14/06/2007,2031
15/06/2007,2057
16/06/2007,2052
17/06/2007,2024
18/06/2007,2057
19/06/2007,2169
20/06/2007,2260
21/06/2007,2218
22/06/2007,2278
23/06/2007,2437
24/06/2007,2554
25/06/2007,2721
26/06/2007,2851
27/06/2007,2770
28/06/2007,2666
29/06/2007,2565
30/06/2007,2493
1/7/2007,2437
2/7/2007,2364
3/7/2007,2267
4/7/2007,2212
5/7/2007,2264
6/7/2007,2556
7/7/2007,2820
8/7/2007,3013
9/7/2007,3114
10/7/2007,3076
11/7/2007,2974
12/7/2007,2926
13/07/2007,2880
14/07/2007,2869
15/07/2007,2847
16/07/2007,2786
17/07/2007,2673
18/07/2007,2493
19/07/2007,2336
