date,lobith
2006-01-01,1272
2006-01-02,1261
2006-01-03,1320
2006-01-04,1581
2006-01-05,1906
2006-01-06,1885
2006-01-07,1733
2006-01-08,1581
2006-01-09,1482
2006-01-10,1400
2006-01-11,1328
2006-01-12,1277
2006-01-13,1229
2006-01-14,1186
2006-01-15,1158
2006-01-16,1124
2006-01-17,1092
2006-01-18,1085
2006-01-19,1097
2006-01-20,1141
2006-01-21,1275
2006-01-22,1450
2006-01-23,1591
2006-01-24,1645
2006-01-25,1610
2006-01-26,1550
2006-01-27,1449
2006-01-28,1362
2006-01-29,1287
2006-01-30,1231
2006-01-31,1195
2006-02-01,1163
2006-02-02,1130
2006-02-03,1085
2006-02-04,1059
2006-02-05,1047
2006-02-06,1036
2006-02-07,1050
2006-02-08,1065
2006-02-09,1130
2006-02-10,1208
2006-02-11,1274
2006-02-12,1308
2006-02-13,1299
2006-02-14,1240
2006-02-15,1168
2006-02-16,1173
2006-02-17,1282
2006-02-18,1728
2006-02-19,2599
2006-02-20,3549
2006-02-21,3969
2006-02-22,3866
2006-02-23,3415
2006-02-24,2986
2006-02-25,2618
2006-02-26,2323
2006-02-27,2099
2006-02-28,1945
2006-03-01,1819
2006-03-02,1728
2006-03-03,1621
2006-03-04,1547
2006-03-05,1491
2006-03-06,1481
2006-03-07,1659
2006-03-08,1879
2006-03-09,1971
2006-03-10,2143
2006-03-11,2806
2006-03-12,4197
2006-03-13,5267
2006-03-14,5668
2006-03-15,5402
2006-03-16,4725
2006-03-17,3935
2006-03-18,3264
2006-03-19,2830
2006-03-20,2563
2006-03-21,2361
2006-03-22,2184
2006-03-23,2077
2006-03-24,2023
2006-03-25,2064
2006-03-26,2221
2006-03-27,2461
2006-03-28,2835
2006-03-29,3377
2006-03-30,3880
2006-03-31,4198
2006-04-01,4630
2006-04-02,5264
2006-04-03,5625
2006-04-04,5675
2006-04-05,5504
2006-04-06,5232
2006-04-07,4877
2006-04-08,4485
2006-04-09,4147
2006-04-10,3899
2006-04-11,3674
2006-04-12,3480
2006-04-13,3515
2006-04-14,3881
2006-04-15,4144
2006-04-16,4140
2006-04-17,4025
2006-04-18,3952
2006-04-19,3943
2006-04-20,3898
2006-04-21,3808
2006-04-22,3645
2006-04-23,3448
2006-04-24,3258
2006-04-25,3092
2006-04-26,2967
2006-04-27,2855
2006-04-28,2759
2006-04-29,2717
2006-04-30,2733
2006-05-01,2812
2006-05-02,2842
2006-05-03,2882
2006-05-04,2812
2006-05-05,2664
2006-05-06,2469
2006-05-07,2290
2006-05-08,2177
2006-05-09,2105
2006-05-10,2077
2006-05-11,2065
2006-05-12,2100
2006-05-13,2241
2006-05-14,2309
2006-05-15,2334
2006-05-16,2312
2006-05-17,2252
2006-05-18,2297
2006-05-19,2457
2006-05-20,2504
2006-05-21,2521
2006-05-22,2579
2006-05-23,2738
2006-05-24,2759
2006-05-25,2730
2006-05-26,2707
2006-05-27,2749
2006-05-28,3018
2006-05-29,3426
2006-05-30,3691
2006-05-31,3670
2006-06-01,3588
2006-06-02,3711
